ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
381,20220101,20220107,20220102,16942,SO46700,1000.4375
375,20220101,20220113,20220108,15114,SO46701,2181.5625
369,20220101,20220108,20220105,15116,SO46702,2443.35
337,20220101,20220107,20220106,20576,SO46703,782.99
370,20220101,20220109,20220106,13059,SO46704,2443.35
370,20220101,20220105,20220103,13085,SO46705,2443.35
352,20220101,20220107,20220106,20186,SO46706,2071.4196
337,20220101,20220106,20220105,15199,SO46707,782.99
377,20220101,20220107,20220102,21200,SO46708,2181.5625
387,20220101,20220111,20220108,19172,SO46709,1000.4375
356,20220101,20220109,20220105,11484,SO46710,2071.4196
369,20220101,20220113,20220108,13592,SO46711,2443.35
373,20220101,20220109,20220106,13779,SO46712,2181.5625
371,20220101,20220105,20220102,24778,SO46713,2181.5625
368,20220101,20220108,20220104,13093,SO46714,2443.35
375,20220101,20220108,20220105,24976,SO46715,2181.5625
375,20220101,20220107,20220102,25046,SO46716,2181.5625
368,20220101,20220108,20220107,25048,SO46717,2443.35
360,20220101,20220112,20220107,12570,SO46718,2049.0982
362,20220101,20220104,20220103,11604,SO46719,2049.0982
371,20220101,20220109,20220105,13667,SO46720,2181.5625
370,20220101,20220109,20220107,16046,SO46721,2443.35
385,20220101,20220111,20220107,17095,SO46722,1000.4375
368,20220101,20220104,20220102,12918,SO46723,2443.35
368,20220101,20220105,20220103,28663,SO46724,2443.35
369,20220101,20220110,20220108,21191,SO46725,2443.35
373,20220101,20220105,20220104,20999,SO46726,2181.5625
370,20220101,20220104,20220102,21002,SO46727,2443.35
358,20220101,20220108,20220107,12354,SO46728,2049.0982
321,20220101,20220109,20220107,26019,SO46729,782.99
379,20220101,20220105,20220104,15100,SO46730,2181.5625
371,20220101,20220103,20220102,15101,SO46731,2181.5625
385,20220101,20220108,20220104,13992,SO46732,1000.4375
375,20220101,20220106,20220102,24781,SO46733,2181.5625
375,20220101,20220109,20220106,13060,SO46734,2181.5625
371,20220101,20220107,20220102,13226,SO46735,2181.5625
360,20220101,20220108,20220104,12341,SO46736,2049.0982
354,20220101,20220106,20220105,12346,SO46737,2071.4196
362,20220101,20220111,20220108,12576,SO46738,2049.0982
373,20220101,20220110,20220105,15699,SO46739,2181.5625
379,20220101,20220108,20220103,12980,SO46740,2181.5625
370,20220101,20220110,20220107,28766,SO46741,2443.35
358,20220101,20220109,20220105,20206,SO46742,2049.0982
373,20220101,20220109,20220107,21183,SO46743,2181.5625
370,20220101,20220112,20220108,21199,SO46744,2443.35
369,20220101,20220110,20220107,13056,SO46745,2443.35
368,20220101,20220109,20220108,13057,SO46746,2443.35
360,20220101,20220108,20220105,26127,SO46747,2049.0982
360,20220101,20220108,20220103,26252,SO46748,2049.0982
354,20220101,20220109,20220108,12350,SO46749,2071.4196
377,20220101,20220109,20220105,16054,SO46750,2181.5625
377,20220101,20220112,20220107,12934,SO46751,2181.5625
343,20220101,20220110,20220106,19931,SO46752,782.99
379,20220101,20220111,20220107,21215,SO46753,2181.5625
321,20220101,20220109,20220105,25958,SO46754,782.99
343,20220101,20220112,20220108,26023,SO46755,782.99
383,20220101,20220111,20220108,13993,SO46756,1000.4375
354,20220102,20220109,20220104,26174,SO46757,2071.4196
387,20220102,20220107,20220104,18130,SO46758,1000.4375
373,20220102,20220111,20220107,16033,SO46759,2181.5625
387,20220102,20220109,20220106,13986,SO46760,1000.4375
325,20220102,20220108,20220103,19924,SO46761,782.99
368,20220102,20220110,20220108,13063,SO46762,2443.35
375,20220102,20220106,20220103,13202,SO46763,2181.5625
360,20220102,20220108,20220103,26238,SO46764,2049.0982
333,20220102,20220109,20220105,15191,SO46765,782.99
369,20220102,20220113,20220109,21216,SO46766,2443.35
362,20220102,20220106,20220105,12573,SO46767,2049.0982
339,20220102,20220112,20220107,26020,SO46768,782.99
377,20220102,20220107,20220104,15702,SO46769,2181.5625
370,20220102,20220109,20220104,15357,SO46770,2443.35
377,20220102,20220108,20220107,13068,SO46771,2181.5625
375,20220102,20220107,20220104,13161,SO46772,2181.5625
